level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	283	178	-1	
2	1	1	0	0	0	8	9	269	162	-1	
3	1	1	1	0	0	8	9	269	162	-1	
4	1	1	1	1	0	9	9	206	21	-1	
5	1	1	1	1	1	9	10	18	20	93	It
5	1	1	1	1	2	35	17	42	13	96	was
5	1	1	1	1	3	86	9	37	21	96	the
5	1	1	1	1	4	132	9	48	21	96	best
5	1	1	1	1	5	189	9	26	21	96	of
4	1	1	1	2	0	8	43	264	25	-1	
5	1	1	1	2	1	8	44	69	24	94	times,
5	1	1	1	2	2	87	44	16	19	94	it
5	1	1	1	2	3	111	51	42	12	96	was
5	1	1	1	2	4	163	43	36	20	96	the
5	1	1	1	2	5	207	49	65	14	96	worst
4	1	1	1	3	0	8	76	269	28	-1	
5	1	1	1	3	1	8	76	26	21	96	of
5	1	1	1	3	2	39	78	70	24	96	times,
5	1	1	1	3	3	118	78	17	19	96	it
5	1	1	1	3	4	142	84	43	13	96	was
5	1	1	1	3	5	194	76	36	21	96	the
5	1	1	1	3	6	240	84	37	20	96	age
4	1	1	1	4	0	8	110	249	25	-1	
5	1	1	1	4	1	8	110	25	21	95	of
5	1	1	1	4	2	38	110	97	25	92	wisdom,
5	1	1	1	4	3	145	112	16	18	92	it
5	1	1	1	4	4	168	118	43	13	96	was
5	1	1	1	4	5	220	110	37	21	96	the
4	1	1	1	5	0	8	143	226	28	-1	
5	1	1	1	5	1	8	151	37	20	96	age
5	1	1	1	5	2	54	143	26	21	96	of
5	1	1	1	5	3	86	143	148	21	95	foolishness...
